PID	Status	Label
23018	-9	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
640	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
49691	-9	com.apple.printtool.agent
12190	-9	com.apple.callintelligenced
-	-9	com.apple.askpermissiond
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
99465	-9	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
24434	-9	com.apple.FeatureAccessAgent
47723	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
772	0	com.apple.CryptoTokenKit.ahp.agent
49538	0	application.com.apple.Terminal.1152921500311912334.1152921500311912339
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
-	0	com.apple.remindd
-	0	com.apple.appsleep
-	0	com.microsoft.SyncReporter
811	0	com.apple.duetexpertd
787	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
673	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
619	0	com.apple.lsd
802	0	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
5415	-9	com.apple.pluginkit.pkd
58530	0	com.apple.mdworker.shared.09000000-0500-0000-0000-000000000000
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
93415	0	application.com.google.Chrome.327312.33709721.E8D73F13-4441-47AC-8129-EC9A42C6C604
-	0	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
24553	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
654	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
1011	0	com.apple.CallHistorySyncHelper
12887	-9	com.apple.colorsync.useragent
-	-9	com.apple.analyticsagent
13128	-9	com.apple.appleaccountd
783	0	com.apple.parsecd
9390	-9	com.apple.mlruntimed
46009	-9	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
5444	-9	com.apple.dmd
760	0	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
18381	-9	com.apple.AppSSOAgent
88198	0	com.apple.mbuseragent
18378	-9	com.apple.security.cloudkeychainproxy3
596	0	com.apple.UserEventAgent-Aqua
16337	-9	com.apple.followupd
666	0	com.apple.identityservicesd
661	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
24424	-9	com.apple.generativeexperiencesd
53263	-9	com.apple.XProtect.agent.scan
25655	-9	com.apple.storekitagent
-	0	com.apple.security.DiskUnmountWatcher
655	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
36724	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
23025	-9	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
19988	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
19995	-9	com.apple.feedbackd
-	0	com.apple.storedownloadd
61257	0	com.citrix.ReceiverHelper
-	0	com.apple.SpacesTouchBarAgent.app
687	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
650	0	com.apple.coreservices.sharedfilelistd
616	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
1297	-9	com.apple.reversetemplated
1142	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
684	0	com.apple.rapportd
95597	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
762	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
617	0	com.apple.containermanagerd
66540	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
30183	0	application.com.microsoft.VSCode.31657500.31657506
64196	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
757	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
34249	0	com.apple.managedappdistributionagent
